TYPE,FULLCODE,STATE,COUNTY,TRACT,BLOCK,PLACE,COUSUB,CONCITY,AIANNH,SHEETS
Block,410030004022002,41,3,4.02,2002,15800,90680,,,1
Block,410030004022003,41,3,4.02,2003,15800,90680,,,1
Block,410030004022004,41,3,4.02,2004,15800,90680,,,"1,2"
Block,410030004022005,41,3,4.02,2005,15800,90680,,,1
Block,410030004023004,41,3,4.02,3004,15800,90680,,,1
Block,410030004023005,41,3,4.02,3005,15800,90680,,,1
Block,410030004023006,41,3,4.02,3006,15800,90680,,,1
Block,410030004023007,41,3,4.02,3007,15800,90680,,,1
Block,410030004023008,41,3,4.02,3008,15800,90680,,,1
Block,410030004023009,41,3,4.02,3009,15800,90680,,,"1,2"
Block,410030004023010,41,3,4.02,3010,15800,90680,,,1
Block,410030004023011,41,3,4.02,3011,15800,90680,,,1
Block,410030004023012,41,3,4.02,3012,15800,90680,,,1
Block,410030004023013,41,3,4.02,3013,15800,90680,,,"1,2"
Block,410030004023015,41,3,4.02,3015,15800,90680,,,1
Block,410030004023016,41,3,4.02,3016,15800,90680,,,1
Block,410030004023017,41,3,4.02,3017,15800,90680,,,1
Block,410030004023018,41,3,4.02,3018,15800,90680,,,1
Block,410030004023019,41,3,4.02,3019,15800,90680,,,1
Block,410030005001002,41,3,5,1002,15800,90680,,,2
Block,410030005001003,41,3,5,1003,15800,90680,,,2
Block,410030005001004,41,3,5,1004,15800,90680,,,2
Block,410030005001006,41,3,5,1006,15800,90680,,,2
Block,410030005001007,41,3,5,1007,15800,90680,,,2
Block,410030005001008,41,3,5,1008,15800,90680,,,2
Block,410030005001009,41,3,5,1009,15800,90680,,,2
Block,410030005001010,41,3,5,1010,15800,90680,,,2
Block,410030005001011,41,3,5,1011,15800,90680,,,2
Block,410030005001012,41,3,5,1012,15800,90680,,,2
Block,410030006001002,41,3,6,1002,15800,90680,,,2
Block,410030006001003,41,3,6,1003,15800,90680,,,2
Block,410030006001004,41,3,6,1004,15800,90680,,,2
Block,410030006001005,41,3,6,1005,15800,90680,,,2
Block,410030006001006,41,3,6,1006,15800,90680,,,2
Block,410030006001007,41,3,6,1007,15800,90680,,,2
Block,410030006001008,41,3,6,1008,15800,90680,,,2
Block,410030006001009,41,3,6,1009,15800,90680,,,2
Block,410030006001010,41,3,6,1010,15800,90680,,,2
Block,410030006001011,41,3,6,1011,15800,90680,,,2
Block,410030006001012,41,3,6,1012,15800,90680,,,2
Block,410030006001013,41,3,6,1013,15800,90680,,,2
Block,410030006003002,41,3,6,3002,15800,90680,,,2
Block,410030006003004,41,3,6,3004,15800,90680,,,2
Block,410030006003005,41,3,6,3005,15800,90680,,,2
Block,410030006003006,41,3,6,3006,15800,90680,,,2
Block,410030006003007,41,3,6,3007,15800,90680,,,2
Block,410030006003008,41,3,6,3008,15800,90680,,,2
Block,410030006003009,41,3,6,3009,15800,90680,,,2
Block,410030006003010,41,3,6,3010,15800,90680,,,2
Block,410030006003011,41,3,6,3011,15800,90680,,,2
Block,410030006003014,41,3,6,3014,15800,90680,,,2
Block,410030006003015,41,3,6,3015,15800,90680,,,2
Block,410030006003016,41,3,6,3016,15800,90680,,,2
Block,410030006003017,41,3,6,3017,15800,90680,,,2
Block,410030006003018,41,3,6,3018,15800,90680,,,2
Block,410030006003019,41,3,6,3019,15800,90680,,,2
Block,410030006003020,41,3,6,3020,15800,90680,,,2
Block,410030006003021,41,3,6,3021,15800,90680,,,2
Block,410030006003022,41,3,6,3022,15800,90680,,,2
Block,410030006003023,41,3,6,3023,15800,90680,,,2
Block,410030006003024,41,3,6,3024,15800,90680,,,2
Block,410030006003025,41,3,6,3025,15800,90680,,,2
Block,410030006003029,41,3,6,3029,15800,90680,,,2
Block,410030006003032,41,3,6,3032,15800,90680,,,2
Block,410030006003033,41,3,6,3033,15800,90680,,,2
Block,410030006003034,41,3,6,3034,15800,90680,,,2
Block,410030006003036,41,3,6,3036,15800,90680,,,2
Block,410030006003037,41,3,6,3037,15800,90680,,,2
Block,410030009001000,41,3,9,1000,15800,90680,,,"1,2"
Block,410030009001001,41,3,9,1001,15800,90680,,,1
Block,410030009001002,41,3,9,1002,15800,90680,,,1
Block,410030009001003,41,3,9,1003,15800,90680,,,1
Block,410030009001004,41,3,9,1004,15800,90680,,,1
Block,410030009001005,41,3,9,1005,15800,90680,,,1
Block,410030009001006,41,3,9,1006,15800,90680,,,"1,2"
Block,410030009001007,41,3,9,1007,15800,90680,,,1
Block,410030009001008,41,3,9,1008,15800,90680,,,"1,2"
Block,410030009001009,41,3,9,1009,15800,90680,,,"1,2"
Block,410030009001010,41,3,9,1010,15800,90680,,,1
Block,410030009002000,41,3,9,2000,15800,90680,,,"1,2"
Block,410030009002001,41,3,9,2001,15800,90680,,,1
Block,410030009002002,41,3,9,2002,15800,90680,,,1
Block,410030009002003,41,3,9,2003,15800,90680,,,1
Block,410030009002004,41,3,9,2004,15800,90680,,,1
Block,410030009002005,41,3,9,2005,15800,90680,,,1
Block,410030009002006,41,3,9,2006,15800,90680,,,1
Block,410030009002007,41,3,9,2007,15800,90680,,,"1,2"
Block,410030009002008,41,3,9,2008,15800,90680,,,"1,2"
Block,410030009002009,41,3,9,2009,15800,90680,,,1
Block,410030009002010,41,3,9,2010,15800,90680,,,1
Block,410030009002011,41,3,9,2011,15800,90680,,,1
Block,410030009002012,41,3,9,2012,15800,90680,,,1
Block,410030009002013,41,3,9,2013,15800,90680,,,1
Block,410030009002014,41,3,9,2014,15800,90680,,,1
